date_YYMMDD,source,production_m3,service_hours,country,
2020/01/01,Ndindan Reservoir,26188.00,21.73,Cameroon,
2020/01/02,Ndindan Reservoir,21170.00,20.43,Cameroon,
2020/01/03,Ndindan Reservoir,39209.00,23.86,Cameroon,
2020/01/04,Ndindan Reservoir,25499.00,20.37,Cameroon,
2020/01/05,Ndindan Reservoir,21803.00,23.08,Cameroon,
2020/01/06,Mvog-Betsi River,16366.00,20.54,Cameroon,
2020/01/07,Mvog-Betsi River,23088.00,20.49,Cameroon,
2020/01/08,Mvog-Betsi River,25527.00,23.70,Cameroon,
2020/01/09,Mvog-Betsi River,24843.00,22.06,Cameroon,
2020/01/10,Ndindan Reservoir,21832.00,20.58,Cameroon,
2020/01/11,Ndindan Reservoir,22063.00,23.19,Cameroon,
2020/01/12,Ndindan Reservoir,27857.00,23.80,Cameroon,
2020/01/13,Ndindan Reservoir,24707.00,21.21,Cameroon,
2020/01/14,Mvog-Betsi River,23918.00,20.53,Cameroon,
2020/01/15,Ndindan Reservoir,20715.00,22.97,Cameroon,
2020/01/16,Ndindan Reservoir,21487.00,22.10,Cameroon,
2020/01/17,Mvog-Betsi River,20652.00,23.16,Cameroon,
2020/01/18,Ndindan Reservoir,23126.00,23.12,Cameroon,
2020/01/19,Mvog-Betsi River,23469.00,23.37,Cameroon,
2020/01/20,Ndindan Reservoir,22831.00,22.70,Cameroon,
2020/01/21,Ndindan Reservoir,20388.00,22.62,Cameroon,
2020/01/22,Ndindan Reservoir,20600.00,20.05,Cameroon,
2020/01/23,Ndindan Reservoir,21019.00,23.64,Cameroon,
2020/01/24,Mvog-Betsi River,22216.00,22.99,Cameroon,
2020/01/25,Ndindan Reservoir,22611.00,20.50,Cameroon,
2020/01/26,Mvog-Betsi River,23072.00,21.46,Cameroon,
2020/01/27,Ndindan Reservoir,23641.00,20.57,Cameroon,
2020/01/28,Mvog-Betsi River,22817.00,22.11,Cameroon,
2020/01/29,Mvog-Betsi River,17581.00,22.62,Cameroon,
2020/01/30,Ndindan Reservoir,23032.00,10.49,Cameroon,
2020/01/31,Ndindan Reservoir,23570.00,22.89,Cameroon,
2020/02/01,Ndindan Reservoir,21101.00,22.63,Cameroon,
2020/02/02,Ndindan Reservoir,20615.00,20.85,Cameroon,
2020/02/03,Ndindan Reservoir,23625.00,22.24,Cameroon,
2020/02/04,Mvog-Betsi River,22206.00,21.98,Cameroon,
2020/02/05,Mvog-Betsi River,21381.00,21.23,Cameroon,
2020/02/06,Mvog-Betsi River,18883.00,19.09,Cameroon,
2020/02/07,Ndindan Reservoir,20036.00,20.98,Cameroon,
2020/02/08,Ndindan Reservoir,25342.00,22.06,Cameroon,
2020/02/09,Mvog-Betsi River,20918.00,20.35,Cameroon,
2020/02/10,Mvog-Betsi River,24092.00,22.55,Cameroon,
2020/02/11,Mvog-Betsi River,22390.00,21.65,Cameroon,
2020/02/12,Ndindan Reservoir,21614.00,22.07,Cameroon,
2020/02/13,Ndindan Reservoir,23191.00,21.82,Cameroon,
2020/02/14,Mvog-Betsi River,21097.00,23.86,Cameroon,
2020/02/15,Ndindan Reservoir,20917.00,23.53,Cameroon,
2020/02/16,Mvog-Betsi River,24583.00,23.85,Cameroon,
2020/02/17,Ndindan Reservoir,20603.00,20.82,Cameroon,
2020/02/18,Ndindan Reservoir,27452.00,20.07,Cameroon,
2020/02/19,Ndindan Reservoir,21604.00,23.92,Cameroon,
2020/02/20,Ndindan Reservoir,19491.00,18.31,Cameroon,
2020/02/21,Mvog-Betsi River,21939.00,22.69,Cameroon,
2020/02/22,Mvog-Betsi River,23567.00,20.50,Cameroon,
2020/02/23,Ndindan Reservoir,22008.00,20.61,Cameroon,
2020/02/24,Ndindan Reservoir,25054.00,23.79,Cameroon,
2020/02/25,Mvog-Betsi River,22714.00,20.01,Cameroon,
2020/02/26,Ndindan Reservoir,20301.00,22.03,Cameroon,
2020/02/27,Ndindan Reservoir,21684.00,21.55,Cameroon,
2020/02/28,Mvog-Betsi River,21115.00,21.75,Cameroon,
2020/02/29,Ndindan Reservoir,20817.00,20.26,Cameroon,
2020/03/01,Ndindan Reservoir,19293.00,17.63,Cameroon,
2020/03/02,Ndindan Reservoir,23297.00,23.33,Cameroon,
2020/03/03,Mvog-Betsi River,21038.00,23.23,Cameroon,
2020/03/04,Ndindan Reservoir,23933.00,20.26,Cameroon,
2020/03/05,Ndindan Reservoir,25171.00,22.92,Cameroon,
2020/03/06,Ndindan Reservoir,25355.00,23.77,Cameroon,
2020/03/07,Mvog-Betsi River,21918.00,22.04,Cameroon,
2020/03/08,Ndindan Reservoir,24047.00,23.49,Cameroon,
2020/03/09,Ndindan Reservoir,24397.00,22.58,Cameroon,
2020/03/10,Ndindan Reservoir,19870.00,21.47,Cameroon,
2020/03/11,Mvog-Betsi River,20350.00,22.97,Cameroon,
2020/03/12,Mvog-Betsi River,18420.00,21.27,Cameroon,
2020/03/13,Ndindan Reservoir,21014.00,21.79,Cameroon,
2020/03/14,Mvog-Betsi River,24177.00,20.57,Cameroon,
2020/03/15,Mvog-Betsi River,18140.00,19.53,Cameroon,
2020/03/16,Mvog-Betsi River,23206.00,21.90,Cameroon,
