country,city,zone,month,year,date,w_supplied,total_consumption,metered,ww_capacity,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,complaints,resolved,complaint_resolution,sewer_connections,public_toilets,workforce,f_workforce,hh_emptied,fs_treated,fs_reused,ww_collected,ww_treated,ww_reused,households
cameroon,Yaounde,Yaounde 1,1,2020,Jan 2020,491565,1059717,245411,48438,100,200,81,196,74,174,756,634,16,18817,99,22,18,27356,56746,38958,55787,38456,20163,245721
cameroon,Yaounde,Yaounde 1,2,2020,Feb 2020,261948,654807,216077,51539,100,150,94,112,76,93,466,399,16,18817,101,23,16,45267,199854,123580,60499,40173,23300,245721
cameroon,Yaounde,Yaounde 1,3,2020,Mar 2020,113356,228062,228774,25017,100,200,78,171,75,139,622,528,16,18817,103,23,16,53022,168910,106543,38845,19542,14993,245721
cameroon,Yaounde,Yaounde 1,4,2020,Apr 2020,254157,521828,269875,17181,100,200,78,177,77,146,734,671,16,18817,102,20,17,50607,54996,39945,18015,14152,8131,245721
cameroon,Yaounde,Yaounde 1,5,2020,May 2020,161079,325266,280167,57865,100,150,85,117,75,113,323,322,16,18817,99,20,19,30364,12854,7885,77282,47855,24905,245721
cameroon,Yaounde,Yaounde 1,6,2020,Jun 2020,336977,729761,218229,55242,200,100,189,72,162,68,536,514,16,18817,100,22,19,34378,145740,106382,79909,42671,30929,245721
cameroon,Yaounde,Yaounde 1,7,2020,Jul 2020,279483,605953,278441,5836,100,150,74,113,74,106,602,573,16,18817,99,21,20,39895,85853,55829,7405,4494,3271,245721
cameroon,Yaounde,Yaounde 1,8,2020,Aug 2020,108425,244760,249537,21486,150,200,108,198,99,193,602,518,16,18817,103,22,19,47687,181560,137403,34622,17544,10578,245721
cameroon,Yaounde,Yaounde 1,9,2020,Sep 2020,354023,815648,277657,66702,200,100,154,92,141,77,292,273,16,18817,103,22,20,30625,60609,45167,79089,52010,33962,245721
cameroon,Yaounde,Yaounde 1,10,2020,Oct 2020,208256,502913,220263,64405,100,200,86,180,77,176,763,710,16,18817,99,20,20,41410,85787,59519,65681,51069,27192,245721
cameroon,Yaounde,Yaounde 1,11,2020,Nov 2020,160583,382544,291869,63665,100,150,86,113,84,97,698,646,16,18817,99,20,20,45269,68777,43470,86458,50858,26485,245721
cameroon,Yaounde,Yaounde 1,12,2020,Dec 2020,176475,356907,249939,30028,200,100,167,76,137,69,645,595,16,18817,98,23,20,33329,10426,7299,42741,23710,11883,245721
cameroon,Yaounde,Yaounde 2,1,2020,Jan 2020,492725,1202646,107004,7811,100,150,78,146,73,122,756,634,16,4572,63,31,12,23278,126646,88395,8076,6326,4058,102592
cameroon,Yaounde,Yaounde 2,2,2020,Feb 2020,277424,665482,141865,26693,150,100,120,73,110,65,466,399,16,4572,66,30,13,24667,118131,89036,40714,20865,11327,102592
cameroon,Yaounde,Yaounde 2,3,2020,Mar 2020,108806,262080,139556,15353,100,150,76,141,68,115,622,528,16,4572,65,32,15,15858,74908,46307,20076,12544,7012,102592
cameroon,Yaounde,Yaounde 2,4,2020,Apr 2020,468167,1075705,142173,5357,150,200,145,160,126,137,734,671,16,4572,62,31,14,11958,102487,65224,5974,4461,2714,102592
cameroon,Yaounde,Yaounde 2,5,2020,May 2020,286893,713185,132226,5983,150,200,120,187,100,177,323,322,16,4572,65,31,15,22641,82755,55463,6931,4982,3414,102592
cameroon,Yaounde,Yaounde 2,6,2020,Jun 2020,480898,1005415,126139,31583,150,150,133,145,112,132,536,514,16,4572,63,30,14,21158,11525,8014,51291,26270,20762,102592
cameroon,Yaounde,Yaounde 2,7,2020,Jul 2020,278307,585033,101388,70357,100,200,96,166,85,135,602,573,16,4572,66,32,14,24244,54645,40923,71399,54708,39740,102592
cameroon,Yaounde,Yaounde 2,8,2020,Aug 2020,258098,599755,113417,15670,100,200,72,194,69,159,602,518,16,4572,64,32,13,17777,165948,111731,17736,12060,6386,102592
cameroon,Yaounde,Yaounde 2,9,2020,Sep 2020,381917,951619,146598,84575,200,200,170,164,146,152,292,273,16,4572,62,32,15,23018,117469,91504,95498,70419,46205,102592
cameroon,Yaounde,Yaounde 2,10,2020,Oct 2020,210972,506067,108199,31046,200,100,159,90,155,72,763,710,16,4572,67,33,14,15069,66985,50459,44099,25205,19086,102592
cameroon,Yaounde,Yaounde 2,11,2020,Nov 2020,237207,565333,102262,11903,200,100,198,87,182,81,698,646,16,4572,66,32,16,23352,101793,72300,13951,9725,5830,102592
cameroon,Yaounde,Yaounde 2,12,2020,Dec 2020,253614,582116,109372,4511,150,100,144,88,123,85,645,595,16,4572,66,31,12,11263,192853,149900,5445,3574,2836,102592
cameroon,Yaounde,Yaounde 3,1,2020,Jan 2020,164136,338220,73135,29423,100,150,96,121,94,117,756,634,16,4041,39,23,10,15340,94235,62157,31409,22889,14886,65180
cameroon,Yaounde,Yaounde 3,2,2020,Feb 2020,390571,907688,69924,54268,100,100,81,73,78,63,466,399,16,4041,41,25,8,13454,44808,35572,60495,44335,27214,65180
cameroon,Yaounde,Yaounde 3,3,2020,Mar 2020,439001,892704,80366,26933,100,200,95,164,80,138,622,528,16,4041,39,25,9,14758,9327,6384,34945,20963,10932,65180
cameroon,Yaounde,Yaounde 3,4,2020,Apr 2020,255858,536276,81534,13732,200,150,200,146,174,128,734,671,16,4041,41,25,8,7611,171421,131540,16380,10814,7502,65180
cameroon,Yaounde,Yaounde 3,5,2020,May 2020,492746,1145958,88608,12585,150,150,149,110,138,103,323,322,16,4041,40,26,7,11723,25407,20098,16421,10199,5168,65180
cameroon,Yaounde,Yaounde 3,6,2020,Jun 2020,408466,933488,78031,44848,100,100,80,98,74,80,536,514,16,4041,42,24,8,7227,81082,50778,52938,35978,25935,65180
cameroon,Yaounde,Yaounde 3,7,2020,Jul 2020,118111,274831,87289,36540,100,150,84,120,83,109,602,573,16,4041,41,25,9,8343,35922,22777,45708,29237,19835,65180
cameroon,Yaounde,Yaounde 3,8,2020,Aug 2020,483312,1106681,82907,29195,150,100,121,83,114,77,602,518,16,4041,38,26,9,14755,129646,78620,38708,24269,15877,65180
cameroon,Yaounde,Yaounde 3,9,2020,Sep 2020,455990,1108840,65523,16069,100,100,75,74,67,69,292,273,16,4041,41,25,8,10897,108976,71143,25251,12931,8956,65180
cameroon,Yaounde,Yaounde 3,10,2020,Oct 2020,299760,600263,84574,60710,100,200,74,196,69,178,763,710,16,4041,38,26,7,9374,21691,15729,91066,46881,32582,65180
cameroon,Yaounde,Yaounde 3,11,2020,Nov 2020,449040,1053579,72541,12588,100,100,98,87,95,70,698,646,16,4041,43,25,9,13992,124881,77624,20448,10430,7790,65180
cameroon,Yaounde,Yaounde 3,12,2020,Dec 2020,281208,631083,79271,38744,100,150,90,115,86,113,645,595,16,4041,43,24,9,11594,138931,98200,40737,31550,23712,65180
cameroon,Yaounde,Yaounde 4,1,2020,Jan 2020,454103,969806,124304,54960,150,100,137,83,112,68,756,634,16,4780,94,39,7,11331,128470,100123,81929,45696,35013,108511
cameroon,Yaounde,Yaounde 4,2,2020,Feb 2020,278433,637389,117522,64344,200,200,177,169,157,145,466,399,16,4780,89,42,4,17728,191893,152686,69852,50155,29196,108511
cameroon,Yaounde,Yaounde 4,3,2020,Mar 2020,474316,1026489,101797,69368,100,100,81,99,71,80,622,528,16,4780,92,41,4,12219,152522,98871,93069,55282,42234,108511
cameroon,Yaounde,Yaounde 4,4,2020,Apr 2020,357603,805804,117229,42487,100,200,81,145,73,138,734,671,16,4780,90,39,6,23921,58527,46306,65227,33585,18672,108511
cameroon,Yaounde,Yaounde 4,5,2020,May 2020,207700,458537,115219,23345,100,100,92,81,77,75,323,322,16,4780,89,39,7,15481,129899,102253,27566,18178,11995,108511
cameroon,Yaounde,Yaounde 4,6,2020,Jun 2020,252535,620874,92380,27779,150,100,116,74,114,69,536,514,16,4780,89,40,4,20094,77280,55570,36125,23141,14710,108511
cameroon,Yaounde,Yaounde 4,7,2020,Jul 2020,495804,1193986,125419,46401,100,200,91,191,78,156,602,573,16,4780,92,42,5,17798,100977,72940,47926,36256,20321,108511
cameroon,Yaounde,Yaounde 4,8,2020,Aug 2020,131373,304327,114845,40753,150,150,136,135,135,127,602,518,16,4780,91,40,7,20350,174666,133173,61750,32685,23749,108511
cameroon,Yaounde,Yaounde 4,9,2020,Sep 2020,136415,322520,103466,21489,200,150,169,115,156,94,292,273,16,4780,90,39,5,14012,29880,18930,26995,17851,12933,108511
cameroon,Yaounde,Yaounde 4,10,2020,Oct 2020,177261,384557,130623,69810,150,100,140,75,120,72,763,710,16,4780,92,41,7,17089,33693,23900,87530,57227,28958,108511
cameroon,Yaounde,Yaounde 4,11,2020,Nov 2020,130830,275381,134749,41403,100,200,94,163,80,134,698,646,16,4780,91,42,3,13092,34637,22479,47933,33928,26816,108511
cameroon,Yaounde,Yaounde 4,12,2020,Dec 2020,472746,1088796,98299,13891,200,200,178,181,159,155,645,595,16,4780,94,39,7,19750,165079,130149,19000,11448,7088,108511
cameroon,Yaounde,Yaounde 5,1,2020,Jan 2020,453854,1010952,47394,58160,150,150,111,149,89,125,756,634,16,1397,60,41,8,6919,130116,85428,69983,47314,33024,33711
cameroon,Yaounde,Yaounde 5,2,2020,Feb 2020,247566,558990,46892,85260,200,200,156,156,151,144,466,399,16,1397,60,40,10,4818,182335,143085,93707,68832,44571,33711
